project_id,state,district,constituency,latitude,longitude,work_type,work_description,implementing_agency,sanctioned_amount,estimated_cost,revised_cost,expenditure,completion_percentage,expected_completion_percentage,sanction_date,expected_completion_date,actual_completion_date,number_of_payments,amount_last_payment,project_status,beneficiary_count
MPL-260011,Assam,Kamrup,Kamrup Parliamentary Constituency,26.12316,91.74483,Health,"Upgrade of primary health centre and equipment in Ward 12, Kamrup",District Education Office,10985552.7,10000000.0,16990820.05,11195524.73,29.6,95.0,2025-03-14,2026-01-12,,13,2328940.13,Delayed,13895
MPL-260012,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,23.04775,72.59913,Community Hall,"Construction of multipurpose community hall in Ward 13, Ahmedabad",Water Board,5164553.05,4900000.0,10668066.22,4972820.83,29.2,92.2,2024-12-29,2025-09-27,,15,1297243.14,Delayed,8968
MPL-260013,Odisha,Khordha,Khordha Parliamentary Constituency,20.17998,85.70739,Solar Lighting,"Installation of solar street lighting in Ward 14, Khordha",Public Works Department,14169306.66,13500000.0,30295736.3,12822176.08,30.9,96.4,2025-03-10,2025-10-22,,20,3404764.32,Delayed,8851
MPL-260014,Maharashtra,Pune,Pune Parliamentary Constituency,18.47642,73.87488,Drainage,"Storm water drain and culvert improvement in Ward 15, Pune",District Education Office,1566367.75,1500000.0,2352800.35,1247790.25,52.3,82.4,2024-07-23,2026-04-03,,11,278570.02,Delayed,14749
MPL-260015,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.13057,79.0599,Sports,"Development of public sports ground in Ward 16, Nagpur",Water Board,16366896.9,16000000.0,21718548.71,14775916.46,49.2,75.0,2025-09-02,2026-06-29,,17,2445290.34,Delayed,6046
MPL-260016,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.87084,80.9802,Road,"Construction of cement concrete link road in Ward 17, Lucknow",Public Works Department,17535279.7,16200000.0,26334452.43,14902876.72,55.9,79.3,2024-07-25,2026-04-25,,12,4265635.63,Delayed,11764
MPL-260017,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.35614,82.99678,Education,"Additional classrooms and sanitation block at government school in Ward 18, Varanasi",District Rural Development Agency,17249381.37,17000000.0,26122636.98,15931739.58,51.8,90.1,2025-01-24,2026-06-20,,19,2538773.12,Delayed,12336
MPL-260018,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,26.89078,75.75204,Water Supply,"Piped drinking water system with overhead tank in Ward 1, Jaipur",Water Board,9885904.56,9100000.0,14516794.47,7236658.35,55.3,86.9,2025-01-04,2026-05-25,,11,2079771.71,Delayed,8816
MPL-260019,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.56513,73.68871,Health,"Upgrade of primary health centre and equipment in Ward 2, Udaipur",District Education Office,3369768.15,3300000.0,4964045.94,3041695.67,30.4,83.4,2025-02-04,2026-01-26,,21,337853.01,Delayed,15459
MPL-260020,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.15818,80.23262,Community Hall,"Construction of multipurpose community hall in Ward 3, Chennai",Municipal Corporation,18109672.09,17000000.0,27659951.29,15215577.63,33.5,92.1,2025-08-16,2026-05-19,,16,2280706.16,Delayed,10238
MPL-260021,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,9.88814,78.11897,Solar Lighting,"Installation of solar street lighting in Ward 4, Madurai",Water Board,15627421.99,14900000.0,23292022.15,11825110.28,50.0,83.5,2025-07-09,2026-05-31,,18,3248239.46,Delayed,550
MPL-260022,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,12.84668,77.66924,Drainage,"Storm water drain and culvert improvement in Ward 5, Bengaluru Urban",District Rural Development Agency,7949650.3,7400000.0,11969634.72,6050312.22,54.1,72.9,2025-04-19,2026-03-22,,12,819364.66,Delayed,8220
MPL-260023,Karnataka,Mysuru,Mysuru Parliamentary Constituency,12.35844,76.59239,Sports,"Development of public sports ground in Ward 6, Mysuru",District Education Office,12938447.21,11800000.0,17033867.47,9473987.0,37.6,98.0,2024-12-31,2026-05-18,,20,2211071.81,Delayed,8533
MPL-260024,West Bengal,Kolkata,Kolkata Parliamentary Constituency,22.46568,88.37996,Road,"Construction of cement concrete link road in Ward 7, Kolkata",Municipal Corporation,18112780.08,16900000.0,28366749.88,16370560.68,35.4,78.6,2024-07-25,2026-03-19,,17,3816309.52,Delayed,17553
MPL-260025,Assam,Kamrup,Kamrup Parliamentary Constituency,26.0674,91.84494,Education,"Additional classrooms and sanitation block at government school in Ward 8, Kamrup",Municipal Corporation,7214491.52,7100000.0,9929338.37,5047559.23,36.8,93.7,2025-03-20,2026-04-17,,16,1152705.16,Delayed,4381
MPL-260026,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,22.95481,72.5542,Water Supply,"Piped drinking water system with overhead tank in Ward 9, Ahmedabad",District Rural Development Agency,14293085.16,13900000.0,21809640.94,11092138.5,38.0,85.9,2025-10-25,2026-05-22,,12,2827229.95,Delayed,9264
MPL-260027,Odisha,Khordha,Khordha Parliamentary Constituency,20.17471,85.81623,Health,"Upgrade of primary health centre and equipment in Ward 10, Khordha",Municipal Corporation,8456271.14,8400000.0,13446573.06,7616271.86,39.0,81.1,2025-08-25,2026-02-21,,12,2168300.47,Delayed,14676
MPL-260028,Maharashtra,Pune,Pune Parliamentary Constituency,18.55704,73.81577,Community Hall,"Construction of multipurpose community hall in Ward 11, Pune",Municipal Corporation,19297950.24,17700000.0,25665347.71,16716493.31,33.1,81.5,2024-10-12,2026-01-28,,11,2692705.96,Delayed,2494
MPL-260029,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.12882,79.15314,Solar Lighting,"Installation of solar street lighting in Ward 12, Nagpur",District Education Office,2217414.22,2100000.0,2859207.42,1716068.55,56.8,77.1,2025-10-04,2026-03-01,,17,265529.81,Delayed,14529
MPL-260030,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.88368,81.00547,Drainage,"Storm water drain and culvert improvement in Ward 13, Lucknow",District Education Office,8466479.55,8200000.0,11699410.61,5864293.49,44.6,75.1,2024-12-21,2026-04-06,,11,574858.8,Delayed,17860
MPL-260031,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.33342,82.96132,Sports,"Development of public sports ground in Ward 14, Varanasi",District Education Office,9122857.33,8900000.0,14118309.28,8435055.86,43.1,72.3,2025-01-27,2026-06-15,,11,2206781.72,Delayed,3881
MPL-260032,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,27.02606,75.65721,Road,"Construction of cement concrete link road in Ward 15, Jaipur",Water Board,6272174.58,6000000.0,9251064.11,4606458.71,33.7,93.4,2024-11-06,2026-06-29,,19,970813.21,Delayed,7629
MPL-260033,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.61237,73.61332,Education,"Additional classrooms and sanitation block at government school in Ward 16, Udaipur",Water Board,4996421.55,4800000.0,7993053.04,3829433.06,50.3,72.5,2025-07-13,2026-02-11,,21,783930.73,Delayed,8916
MPL-260034,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.10777,80.33672,Water Supply,"Piped drinking water system with overhead tank in Ward 17, Chennai",Municipal Corporation,6065507.4,6000000.0,9788969.85,4211198.42,33.2,94.0,2025-04-30,2026-04-26,,20,542504.31,Delayed,13521
MPL-260035,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,10.01977,78.13082,Health,"Upgrade of primary health centre and equipment in Ward 18, Madurai",Water Board,9125662.76,8500000.0,12510676.05,6482789.09,54.2,98.5,2025-03-08,2026-05-22,,18,1078458.33,Delayed,17347
MPL-260036,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,12.94718,77.66231,Community Hall,"Construction of multipurpose community hall in Ward 1, Bengaluru Urban",District Rural Development Agency,6887005.87,6300000.0,8941581.63,5531699.44,38.4,91.8,2025-03-25,2026-01-04,,15,675394.23,Delayed,8054
MPL-260037,Karnataka,Mysuru,Mysuru Parliamentary Constituency,12.36577,76.74089,Solar Lighting,"Installation of solar street lighting in Ward 2, Mysuru",Public Works Department,14426822.72,13900000.0,19823715.52,13781388.71,48.5,92.0,2024-11-24,2026-06-03,,12,2106721.26,Delayed,14892
MPL-260038,West Bengal,Kolkata,Kolkata Parliamentary Constituency,22.61231,88.3644,Drainage,"Storm water drain and culvert improvement in Ward 3, Kolkata",Water Board,11116012.02,10400000.0,14642097.6,9852022.3,37.3,96.4,2024-11-27,2026-06-10,,20,1230464.46,Delayed,14553
MPL-260039,Assam,Kamrup,Kamrup Parliamentary Constituency,26.08846,91.65568,Sports,"Development of public sports ground in Ward 4, Kamrup",District Rural Development Agency,7787686.54,7400000.0,11442035.14,6588243.4,51.8,99.4,2025-05-02,2026-03-17,,10,593800.15,Delayed,10138
MPL-260040,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,22.9801,72.55368,Road,"Construction of cement concrete link road in Ward 5, Ahmedabad",District Rural Development Agency,12410962.24,12200000.0,16732088.23,8604416.85,53.3,87.4,2025-05-13,2026-02-24,,20,2352230.86,Delayed,16994
MPL-260041,Odisha,Khordha,Khordha Parliamentary Constituency,20.19036,85.77218,Education,"Additional classrooms and sanitation block at government school in Ward 6, Khordha",Water Board,14639603.67,13800000.0,22844843.4,11333922.22,34.4,92.6,2024-10-11,2026-04-23,,17,2992642.33,Delayed,14164
MPL-260042,Maharashtra,Pune,Pune Parliamentary Constituency,18.55898,73.75396,Water Supply,"Piped drinking water system with overhead tank in Ward 7, Pune",District Education Office,14078222.26,13300000.0,19691623.84,10025959.85,43.5,85.2,2025-03-15,2026-04-18,,14,1116876.56,Delayed,1624
MPL-260043,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.28109,79.14179,Health,"Upgrade of primary health centre and equipment in Ward 8, Nagpur",Water Board,13281004.88,13200000.0,20008629.74,10717323.6,42.5,88.5,2025-06-18,2026-04-08,,16,2375068.91,Delayed,7271
MPL-260044,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.83877,80.86893,Community Hall,"Construction of multipurpose community hall in Ward 9, Lucknow",Public Works Department,12012290.64,11900000.0,15590197.88,11521882.64,44.6,86.8,2025-02-01,2026-06-19,,21,2655732.91,Delayed,1934
MPL-260045,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.38725,82.96821,Solar Lighting,"Installation of solar street lighting in Ward 10, Varanasi",Water Board,18329488.98,17300000.0,27303574.38,16731657.23,40.6,86.3,2025-07-29,2026-03-09,,10,3952849.02,Delayed,14269
MPL-260046,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,26.89944,75.86748,Drainage,"Storm water drain and culvert improvement in Ward 11, Jaipur",Public Works Department,10333242.93,10300000.0,15661717.79,9653739.2,30.2,74.8,2025-07-15,2026-06-02,,20,2541108.86,Delayed,11876
MPL-260047,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.57805,73.77115,Sports,"Development of public sports ground in Ward 12, Udaipur",Municipal Corporation,16873636.22,15800000.0,20626377.99,16264021.49,46.9,93.3,2025-01-26,2026-01-21,,19,2712853.67,Delayed,11220
MPL-260048,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.14257,80.29936,Road,"Construction of cement concrete link road in Ward 13, Chennai",Municipal Corporation,15537276.0,14500000.0,20356428.01,11317799.24,38.1,82.2,2024-10-20,2026-02-03,,10,1958788.67,Delayed,11164
MPL-260049,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,10.00574,78.18186,Education,"Additional classrooms and sanitation block at government school in Ward 14, Madurai",District Rural Development Agency,4259852.76,4000000.0,6468194.35,3970613.17,33.9,88.2,2024-07-27,2026-02-06,,20,443739.98,Delayed,4703
MPL-260050,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,18.56199,73.7129,Water Supply,"Construction of cement concrete link road in Ward 1, Pune",District Rural Development Agency,12485900.98,12000000.0,14232303.46,998872.08,15.1,38.5,2025-11-12,2026-08-20,,8,204379.35,Delayed,11528
MPL-260051,Karnataka,Mysuru,Mysuru Parliamentary Constituency,21.17124,79.24495,Health,"Additional classrooms and sanitation block at government school in Ward 2, Nagpur",Public Works Department,2979659.44,2900000.0,3308867.07,2733909.89,99.4,100.0,2024-10-10,2025-06-16,2025-06-26,8,221000.69,Completed,6207
MPL-260052,West Bengal,Kolkata,Kolkata Parliamentary Constituency,26.75844,80.93147,Community Hall,"Piped drinking water system with overhead tank in Ward 3, Lucknow",District Education Office,11622853.9,11000000.0,11629014.89,8514699.06,81.9,77.5,2024-10-23,2026-02-18,,6,2548108.25,Delayed,11040
MPL-260053,Assam,Kamrup,Kamrup Parliamentary Constituency,25.527,82.9163,Solar Lighting,"Upgrade of primary health centre and equipment in Ward 4, Varanasi",Municipal Corporation,18539555.42,17500000.0,17684574.13,14077300.51,80.2,72.8,2025-11-12,2027-03-04,,4,2480962.75,In Progress,8792
MPL-260054,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,26.90076,75.79262,Drainage,"Construction of multipurpose community hall in Ward 5, Jaipur",Municipal Corporation,1538306.95,1400000.0,1337140.84,956614.03,66.3,75.1,2025-09-24,2026-08-10,,6,220900.76,Delayed,3007
MPL-260055,Odisha,Khordha,Khordha Parliamentary Constituency,24.7668,73.76852,Sports,"Installation of solar street lighting in Ward 6, Udaipur",Public Works Department,17329597.61,16000000.0,18027015.12,17094624.96,95.1,100.0,2025-06-01,2026-08-15,,9,2255858.29,Delayed,7006
MPL-260056,Maharashtra,Pune,Pune Parliamentary Constituency,12.97574,80.24413,Road,"Storm water drain and culvert improvement in Ward 7, Chennai",Public Works Department,9785128.88,9400000.0,8930000.0,9055596.1,83.8,75.9,2025-11-15,2027-06-27,,9,2038474.92,In Progress,10509
MPL-260057,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,9.83491,77.9841,Education,"Development of public sports ground in Ward 8, Madurai",Public Works Department,11783329.38,11600000.0,12796050.08,9819523.85,77.1,69.8,2024-10-01,2025-08-04,,4,2665259.49,Delayed,15254
MPL-260058,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,13.24087,77.52142,Water Supply,"Construction of cement concrete link road in Ward 9, Bengaluru Urban",District Rural Development Agency,4631254.09,4300000.0,4388126.84,3763692.49,93.2,91.0,2025-05-27,2026-10-28,,6,465187.18,In Progress,8117
MPL-260059,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,12.427,76.78517,Health,"Additional classrooms and sanitation block at government school in Ward 10, Mysuru",District Rural Development Agency,17395659.92,15900000.0,19962761.25,12484271.62,70.6,63.5,2024-12-02,2026-01-20,,5,1425562.55,Delayed,5351
MPL-260060,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,22.49452,88.26776,Community Hall,"Piped drinking water system with overhead tank in Ward 11, Kolkata",Public Works Department,3752054.22,3500000.0,3389740.94,2432195.44,59.4,57.8,2025-07-03,2026-10-10,,5,618518.66,In Progress,3096
MPL-260061,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,26.15474,91.72087,Solar Lighting,"Upgrade of primary health centre and equipment in Ward 12, Kamrup",District Rural Development Agency,3121592.9,3100000.0,3308922.01,3244070.66,93.8,100.0,2025-07-16,2026-04-06,,9,524632.23,Delayed,7673
MPL-260062,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,23.16522,72.5888,Drainage,"Construction of multipurpose community hall in Ward 13, Ahmedabad",Municipal Corporation,6961232.13,6600000.0,7773527.91,5381345.7,73.8,92.0,2024-09-03,2026-01-03,,2,1118982.71,Delayed,7595
MPL-260063,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,20.21273,85.58746,Sports,"Installation of solar street lighting in Ward 14, Khordha",Municipal Corporation,5075818.57,4700000.0,4748921.68,4525319.77,100.0,100.0,2025-01-30,2025-11-10,2025-11-20,9,789682.17,Completed,15864
MPL-260064,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,12.98118,77.52591,Road,"Construction of cement concrete link road in Ward 11, Bengaluru Urban",District Education Office,13520653.14,12400000.0,11780000.0,5780367.09,44.3,39.4,2024-12-15,2026-05-05,,7,711252.96,Delayed,15172
MPL-260065,Karnataka,Mysuru,Mysuru Parliamentary Constituency,12.34164,76.60518,Education,"Additional classrooms and sanitation block at government school in Ward 12, Mysuru",Municipal Corporation,8756976.56,8000000.0,8215697.29,4656677.01,49.6,58.0,2024-09-17,2025-08-02,,8,1165639.79,Delayed,8375
MPL-260066,West Bengal,Kolkata,Kolkata Parliamentary Constituency,22.57453,88.32382,Water Supply,"Piped drinking water system with overhead tank in Ward 13, Kolkata",District Education Office,6807443.29,6200000.0,6288344.76,6107137.85,85.6,81.9,2025-01-08,2026-07-13,,8,514595.65,Delayed,6932
MPL-260067,Assam,Kamrup,Kamrup Parliamentary Constituency,26.16575,91.81132,Health,"Upgrade of primary health centre and equipment in Ward 14, Kamrup",Municipal Corporation,18494162.28,17500000.0,16625000.0,17012379.95,89.4,100.0,2025-03-16,2026-08-24,,3,3517965.86,Delayed,4204
MPL-260068,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,23.10374,72.62668,Community Hall,"Construction of multipurpose community hall in Ward 15, Ahmedabad",Water Board,3336534.91,3300000.0,3654943.05,2505700.4,70.9,67.9,2025-01-31,2026-04-04,,6,496913.28,Delayed,11783
MPL-260069,Odisha,Khordha,Khordha Parliamentary Constituency,20.26945,85.78919,Solar Lighting,"Installation of solar street lighting in Ward 16, Khordha",Public Works Department,11770872.79,11100000.0,11853632.11,9531241.53,75.8,73.9,2024-07-16,2025-08-08,,5,2700723.84,Delayed,16254
MPL-260070,Maharashtra,Pune,Pune Parliamentary Constituency,18.5732,73.96065,Drainage,"Storm water drain and culvert improvement in Ward 17, Pune",District Rural Development Agency,3247755.35,3100000.0,3426600.95,2372257.19,63.1,63.0,2025-09-21,2026-07-19,,6,542513.77,Delayed,12179
MPL-260071,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.20766,79.06333,Sports,"Development of public sports ground in Ward 18, Nagpur",Water Board,4202161.77,4000000.0,4698272.17,2484944.23,56.5,59.5,2025-01-07,2025-12-10,,9,308387.68,Delayed,4841
MPL-260072,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.77469,80.94178,Road,"Construction of cement concrete link road in Ward 1, Lucknow",Water Board,16972523.73,16000000.0,17347972.64,11132792.68,61.1,53.0,2024-09-06,2025-06-05,,9,1948724.26,Delayed,3136
MPL-260073,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.3063,82.83467,Education,"Additional classrooms and sanitation block at government school in Ward 2, Varanasi",Public Works Department,14204218.59,14100000.0,14193182.08,10590490.8,66.5,90.9,2025-03-13,2026-02-13,,5,1943691.21,Delayed,13560
MPL-260074,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,26.95577,75.84127,Water Supply,"Piped drinking water system with overhead tank in Ward 3, Jaipur",Water Board,2531598.91,2500000.0,2375000.0,2393620.17,84.2,100.0,2025-01-18,2026-07-31,,5,690804.66,Delayed,1199
MPL-260075,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.59341,73.62648,Health,"Upgrade of primary health centre and equipment in Ward 4, Udaipur",District Rural Development Agency,7333511.45,6700000.0,6999633.31,5366299.35,62.7,81.2,2024-09-27,2026-03-08,,5,1344606.37,Delayed,12023
MPL-260076,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.12141,80.29666,Community Hall,"Construction of multipurpose community hall in Ward 5, Chennai",District Rural Development Agency,5014985.01,4600000.0,4370000.0,4757417.87,89.7,98.3,2024-10-04,2026-03-09,,6,965529.16,Delayed,17536
MPL-260077,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,9.98501,78.12174,Solar Lighting,"Installation of solar street lighting in Ward 6, Madurai",Water Board,15159371.45,15100000.0,15933812.84,11883230.84,77.9,90.8,2025-11-14,2027-06-14,,8,2352730.28,In Progress,15591
MPL-260078,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,13.02539,77.67644,Drainage,"Storm water drain and culvert improvement in Ward 7, Bengaluru Urban",Public Works Department,11615220.82,11100000.0,10921727.51,12544438.49,100.0,98.6,2024-11-09,2025-08-11,2025-08-21,8,2326636.49,Completed,2250
MPL-260079,Karnataka,Mysuru,Mysuru Parliamentary Constituency,12.26188,76.72286,Sports,"Development of public sports ground in Ward 8, Mysuru",Public Works Department,10858728.47,10300000.0,9785000.0,8018457.15,70.3,61.7,2025-09-10,2026-08-22,,4,977433.75,Delayed,14394
MPL-260080,West Bengal,Kolkata,Kolkata Parliamentary Constituency,22.57273,88.42415,Road,"Construction of cement concrete link road in Ward 9, Kolkata",Water Board,9726443.51,8900000.0,9312100.46,5291921.79,65.1,73.1,2025-03-25,2026-11-12,,2,564276.15,In Progress,1941
MPL-260081,Assam,Kamrup,Kamrup Parliamentary Constituency,26.11991,91.74606,Education,"Additional classrooms and sanitation block at government school in Ward 10, Kamrup",District Rural Development Agency,3472670.86,3300000.0,3387306.9,2251976.12,57.3,67.1,2025-07-29,2026-07-01,,3,359272.96,Delayed,6736
MPL-260082,Gujarat,Ahmedabad,Ahmedabad Parliamentary Constituency,23.02667,72.58749,Water Supply,"Piped drinking water system with overhead tank in Ward 11, Ahmedabad",Water Board,7203558.3,6900000.0,6555000.0,7697862.78,100.0,96.9,2025-01-12,2026-05-07,2026-05-17,7,1877150.33,Completed,5522
MPL-260083,Odisha,Khordha,Khordha Parliamentary Constituency,20.23528,85.74789,Health,"Upgrade of primary health centre and equipment in Ward 12, Khordha",Public Works Department,7130938.96,6700000.0,6843194.92,6283891.54,100.0,100.0,2024-12-26,2026-03-10,2026-03-20,9,1875766.53,Completed,13512
MPL-260084,Maharashtra,Pune,Pune Parliamentary Constituency,18.60429,73.84883,Community Hall,"Construction of multipurpose community hall in Ward 13, Pune",Water Board,6254262.59,6000000.0,5700000.0,4646159.11,70.5,53.4,2024-09-23,2025-05-28,,8,388512.95,Delayed,5646
MPL-260085,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.11764,78.99967,Solar Lighting,"Installation of solar street lighting in Ward 14, Nagpur",Water Board,2293118.74,2100000.0,2275820.92,1417414.92,53.9,42.7,2024-11-02,2025-12-28,,7,374841.06,Delayed,9772
MPL-260086,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.90063,80.9794,Drainage,"Storm water drain and culvert improvement in Ward 15, Lucknow",Municipal Corporation,3896847.55,3600000.0,3916232.68,3378881.18,75.3,84.2,2025-08-31,2026-12-10,,6,409897.67,In Progress,5277
MPL-260087,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.1675,82.9138,Sports,"Development of public sports ground in Ward 16, Varanasi",Water Board,17824565.92,16900000.0,16055000.0,16809820.73,84.4,97.7,2024-07-23,2026-01-09,,6,4288815.95,Delayed,10296
MPL-260088,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,27.03246,75.80007,Road,"Construction of cement concrete link road in Ward 17, Jaipur",Public Works Department,7632670.7,7000000.0,8113881.51,5440785.26,67.3,58.0,2025-02-25,2026-04-26,,2,1490230.26,Delayed,16211
MPL-260089,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.54728,73.71459,Education,"Additional classrooms and sanitation block at government school in Ward 18, Udaipur",Public Works Department,16805654.16,16400000.0,15580000.0,12643235.09,77.1,75.3,2025-04-28,2026-06-15,,9,1412900.15,Delayed,4740
MPL-260090,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.11146,80.35257,Water Supply,"Piped drinking water system with overhead tank in Ward 1, Chennai",Municipal Corporation,17922408.12,17200000.0,17628065.86,17549199.13,86.3,71.7,2025-09-17,2026-09-27,,6,3057704.1,In Progress,5481
MPL-260091,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,9.8743,78.09126,Health,"Upgrade of primary health centre and equipment in Ward 2, Madurai",District Rural Development Agency,7824341.81,7300000.0,9009629.83,7528713.04,92.8,87.0,2024-07-23,2025-04-11,,3,1466436.92,Delayed,10515
